Region,Country,State,City,Month,Day,Year,AvgTemperature
Africa,Egypt,,Cairo,1,1,1995,59.2
Africa,Egypt,,Cairo,1,2,1995,57.5
Africa,Egypt,,Cairo,1,3,1995,57.4
Africa,Egypt,,Cairo,1,4,1995,59.3
Africa,Egypt,,Cairo,1,5,1995,58.8
Africa,Egypt,,Cairo,1,6,1995,55.7
Africa,Egypt,,Cairo,1,7,1995,57.3
Africa,Egypt,,Cairo,1,8,1995,56.5
Africa,Egypt,,Cairo,1,9,1995,57.5
Africa,Egypt,,Cairo,1,10,1995,58.5
Africa,Egypt,,Cairo,1,11,1995,54.9
Africa,Egypt,,Cairo,1,12,1995,55.1
Africa,Egypt,,Cairo,1,13,1995,58.9
Africa,Egypt,,Cairo,1,14,1995,59.2
Africa,Egypt,,Cairo,1,15,1995,55.7
Africa,Egypt,,Cairo,1,16,1995,50.5
Africa,Egypt,,Cairo,1,17,1995,52.1
Africa,Egypt,,Cairo,1,18,1995,53.6
Africa,Egypt,,Cairo,1,19,1995,52.9
Africa,Egypt,,Cairo,1,20,1995,55.2
Africa,Egypt,,Cairo,1,21,1995,55.3
Africa,Egypt,,Cairo,1,22,1995,56.1
Africa,Egypt,,Cairo,1,23,1995,56.1
Africa,Egypt,,Cairo,1,24,1995,55.6
Africa,Egypt,,Cairo,1,25,1995,57.3
Africa,Egypt,,Cairo,1,26,1995,58.5
Africa,Egypt,,Cairo,1,27,1995,57.8
Africa,Egypt,,Cairo,1,28,1995,58.2
Africa,Egypt,,Cairo,1,29,1995,58.4
Africa,Egypt,,Cairo,1,30,1995,58.9
Africa,Egypt,,Cairo,1,31,1995,56.6
Africa,Egypt,,Cairo,2,1,1995,58.1
Africa,Egypt,,Cairo,2,2,1995,58.8
Africa,Egypt,,Cairo,2,3,1995,61.1
Africa,Egypt,,Cairo,2,4,1995,56.9
Africa,Egypt,,Cairo,2,5,1995,58.5
Africa,Egypt,,Cairo,2,6,1995,55.2
Africa,Egypt,,Cairo,2,7,1995,52.6
Africa,Egypt,,Cairo,2,8,1995,54.8
Africa,Egypt,,Cairo,2,9,1995,58.6
Africa,Egypt,,Cairo,2,10,1995,60.7
Africa,Egypt,,Cairo,2,11,1995,59.9
Africa,Egypt,,Cairo,2,12,1995,59.4
Africa,Egypt,,Cairo,2,13,1995,61.4
Africa,Egypt,,Cairo,2,14,1995,59.6
Africa,Egypt,,Cairo,2,15,1995,61.3
Africa,Egypt,,Cairo,2,16,1995,63.9
Africa,Egypt,,Cairo,2,17,1995,61.0
Africa,Egypt,,Cairo,2,18,1995,60.4
Africa,Egypt,,Cairo,2,19,1995,59.9
Africa,Egypt,,Cairo,2,20,1995,60.0
Africa,Egypt,,Cairo,2,21,1995,57.3
Africa,Egypt,,Cairo,2,22,1995,57.4
Africa,Egypt,,Cairo,2,23,1995,58.6
Africa,Egypt,,Cairo,2,24,1995,61.0
Africa,Egypt,,Cairo,2,25,1995,60.2
Africa,Egypt,,Cairo,2,26,1995,63.4
Africa,Egypt,,Cairo,2,27,1995,64.0
Africa,Egypt,,Cairo,2,28,1995,61.6
Africa,Egypt,,Cairo,3,1,1995,62.3
Africa,Egypt,,Cairo,3,2,1995,63.6
Africa,Egypt,,Cairo,3,3,1995,68.2
Africa,Egypt,,Cairo,3,4,1995,71.4
Africa,Egypt,,Cairo,3,5,1995,68.1
Africa,Egypt,,Cairo,3,6,1995,65.4
Africa,Egypt,,Cairo,3,7,1995,62.5
Africa,Egypt,,Cairo,3,8,1995,64.1
Africa,Egypt,,Cairo,3,9,1995,67.4
Africa,Egypt,,Cairo,3,10,1995,66.0
Africa,Egypt,,Cairo,3,11,1995,65.9
Africa,Egypt,,Cairo,3,12,1995,59.9
Africa,Egypt,,Cairo,3,13,1995,59.4
Africa,Egypt,,Cairo,3,14,1995,71.8
Africa,Egypt,,Cairo,3,15,1995,72.2
Africa,Egypt,,Cairo,3,16,1995,62.8
Africa,Egypt,,Cairo,3,17,1995,62.5
Africa,Egypt,,Cairo,3,18,1995,65.7
Africa,Egypt,,Cairo,3,19,1995,65.0
Africa,Egypt,,Cairo,3,20,1995,61.0
